material_type,material_cost_per_kg,quantity,machine_hours,machine_rate_per_hr,labor_hours,labor_rate_per_hr,energy_consumption_kWh,energy_rate_per_kWh,overhead_cost,defect_rate,inventory_time_days,inventory_cost_per_day,total_cost
Brass,9.71,179.43,15.4,59.4,6.86,13.71,318.32,0.18,773.79,7.11,22,17.82,4098.08
Copper,19.1,421.52,25.38,44.2,9.64,18.03,352.66,0.19,381.19,5.87,105,1.85,10461.68
Steel,5.7,238.29,3.28,64.64,3.39,13.91,358.45,0.16,960.81,13.73,96,4.19,3224.32
Titanium,20.81,489.66,24.81,44.99,19.7,22.11,35.46,0.16,824.05,1.88,101,3.23,13089.12
Titanium,21.14,318.9,46.39,31.63,4.58,19.26,431.28,0.07,856.87,6.28,98,4.41,10039.68
Brass,13.67,67.5,5.72,18.55,3.04,39.53,234.54,0.26,188.75,5.17,114,19.43,3661.46
Aluminum,2.15,339.71,38.34,38.34,4.47,6.96,138.58,0.18,285.54,7.47,99,11.48,3733.01
Aluminum,8.6,165.93,20.78,18.7,15.5,9.98,128.46,0.11,299.91,6.86,60,9.89,2975.61
Titanium,16.19,344.73,32.93,25.92,8.8,6.85,246.68,0.29,285.49,7.78,83,19.7,8921.35
Brass,24.57,39.47,13.38,98.86,11.53,26.9,444.55,0.29,858.3,2.1,54,11.58,4235.59
Copper,16.53,91.57,8.39,49.97,0.91,6.91,195.39,0.2,51.25,7.7,66,13.56,3041.03
Aluminum,7.98,428.59,8.44,57.87,1.17,34.28,377.37,0.14,94.58,3.64,7,7.32,4271.82
Copper,16.58,117.45,3.99,88.63,9.19,22.92,57.44,0.24,288.44,2.76,39,8.26,3189.7
Aluminum,14.42,419.34,9.69,99.6,16.42,23.45,243.27,0.14,215.88,0.97,58,12.29,8418.47
Aluminum,19.94,143.24,33.38,62.44,17.76,24.66,495.93,0.12,247.22,11.44,31,2.33,6084.13
Plastic,4.46,323.23,44.14,83.12,2.19,10.98,387.51,0.27,801.98,6.41,92,5.86,6672.7
Aluminum,19.5,348.6,40.8,39.42,11,11.92,113.16,0.06,571.86,9.4,6,4.74,9783.23
Steel,14.45,258.76,34.41,37.52,18.31,16.16,255.71,0.08,25.66,10.91,1,1.3,5781.39
Brass,24.15,156.13,5.97,46.24,8.07,25.77,124.48,0.05,440.74,10.19,84,11.2,6026.54
Brass,9.86,110.26,14.81,70.53,16.68,12.35,210.68,0.1,419.73,7.06,5,11.66,2913.56
Copper,16.55,21.43,15.84,71.4,3.11,9.07,392.24,0.07,131.67,5.82,91,8.29,2448.01
Aluminum,23.44,155.45,12.87,38.37,18.74,38.95,387.9,0.35,682.62,5.64,111,6.11,6569.6
Steel,4.36,328.32,25.99,21.99,15.15,5.77,121.77,0.14,708.06,9.6,105,13.39,4358.89
Copper,23.56,469.46,27.01,66.92,18.86,33.09,461.89,0.09,726.48,7.42,35,3.56,15205.4
Plastic,17.82,436.25,18.17,21.55,13.69,32.58,300.36,0.12,733.9,12.74,31,10.85,10708.26
Copper,3.56,384.2,18.01,62.06,7.59,15.4,196.16,0.33,20.05,13.12,44,15.59,3552.53
Copper,8.92,395.28,41.51,72.41,18.79,9.75,255.95,0.21,954.84,2.56,41,4.12,7982.61
Aluminum,18.29,334.17,39.57,73.06,5.87,10.1,306.48,0.16,817.92,2.04,52,15.31,10850
Plastic,3.55,133.84,15.74,77.81,6.98,29.41,284.35,0.31,905.9,9.46,109,15.46,4629.28
Copper,15.39,454.06,45.73,88.56,14.17,27.5,248.34,0.17,35.33,4.52,8,2.14,11838.03
Steel,9.96,337.01,47.66,55,15.42,32.4,257.42,0.15,935.18,0.28,74,1.36,7561.36
Steel,16.28,282.42,16.67,75.72,18.62,37.81,96.44,0.11,813.59,13.33,86,19.5,9678.16
Brass,3.05,59.94,18.04,65.73,4.49,29.22,408.24,0.16,840.47,3.4,113,4.67,2939.5
Plastic,22.05,226.29,25.53,26.8,16.06,10.45,275.46,0.15,111.42,13.94,74,16.62,7919.91
Plastic,24.39,232.88,47.09,12.31,14.9,13.52,74.23,0.25,744,10.76,48,11.68,8395.43
Brass,24.28,432.96,43.88,35.61,1.74,34.48,385.42,0.14,960.72,11.44,1,6.02,14358.13
Copper,19.24,275.59,5.58,49.87,8.05,12.33,466.9,0.22,684.98,3.02,66,3.47,6856.73
Plastic,4.99,193.3,19.94,65.54,6.01,7.54,474.18,0.07,579.15,3.51,10,10.44,3067.35
Steel,19.44,488.52,27.89,86.5,6.44,29.61,190.82,0.11,946.72,7.82,49,8.74,14238.62
Steel,2.57,59.81,25.41,27.66,19.67,19.09,76.4,0.17,454.08,2.58,34,14.28,2188.61
Aluminum,2.51,214.16,10.1,21.3,13.03,37.2,264.02,0.33,607.31,4.58,14,18.18,2210.96
Plastic,9.44,25.8,43.01,96.71,14.49,27.76,65.18,0.16,486.81,4.82,106,16.3,7042.07
Copper,13.24,371.25,34.01,19.72,19.54,8.16,467.65,0.25,934.19,2.39,74,6.21,7373.59
Brass,19.72,459.45,41.98,53.06,7.86,38.17,99.95,0.13,94.56,3.08,30,17.7,12505.44
Brass,17.72,143.62,43.01,62.7,16.14,14.05,133.86,0.09,511.1,11.83,91,16.83,7824.18
Copper,12.26,429.88,37.54,58.72,8.97,16.8,209.25,0.07,693.21,2.51,61,18.65,9603.17
Titanium,8.29,149.65,22.24,17.74,17.46,19.08,197.75,0.14,796.07,0.43,27,9.71,3059.53
Aluminum,24.93,455.83,30.72,15.13,4.02,6.79,399.38,0.1,591.36,9.44,95,15.6,15041.98
Brass,11.8,378.21,8.44,19.49,18.98,22.38,233.6,0.1,910.74,14.64,24,12.24,6933.37
Plastic,12.38,403.43,33.85,62.7,4.77,9.32,93.68,0.28,943.15,4.97,83,6.9,8951.62
Aluminum,5.76,13.91,9.37,58.99,6.86,19.03,140.93,0.05,83.03,1.78,91,19.89,2664.9
Plastic,20.28,481.59,34.85,31.04,15.25,17.27,259.47,0.22,414.32,8.56,24,1.73,12460.7
Steel,17.95,364.7,11.87,67.4,8.18,32.05,82.25,0.16,42.99,13.6,74,4.08,8856.95
Aluminum,7.08,155.85,6.32,83.81,12.36,33.11,309.71,0.2,342.83,11.76,82,17.96,4049.59
Brass,3.89,415.55,8.68,13.74,9.17,10.37,287.22,0.22,546.13,9.34,91,2.15,2786.79
Aluminum,17.65,144.35,0.6,54.83,14.98,17.83,360.2,0.14,912.58,4.73,0,17.85,3931.29
Aluminum,17.05,437.01,36.08,72.04,4.95,18.07,469.48,0.14,849.62,8.13,58,14.59,12507.01
Aluminum,8.28,60.73,36.75,32.71,1.64,10.3,457,0.27,144.95,1.37,68,1.7,2112.66
Titanium,23.87,353.32,25.99,37.7,6.35,32.95,473.58,0.31,111.17,10.18,73,9.16,11408.02
Aluminum,5.47,272.65,8.49,65.23,9.75,29.75,129.91,0.11,597.48,10.88,41,15.33,3737.82
Plastic,11.94,52.78,4.64,90.81,3.78,11.66,74.47,0.08,541.48,14.48,109,12.08,3051.04
Steel,23.7,124.74,1.45,82.89,7.42,17.84,158.12,0.32,281.05,3.91,33,18.78,4275.88
Copper,11.65,11.14,8.7,62.48,8.3,8.7,448.59,0.15,901.46,0.28,99,17.49,3446.19
Aluminum,16.69,237.04,44.6,75.72,1.62,26.99,486.31,0.22,928.82,8.18,65,7.32,9212.26
Brass,11.14,154.13,12.46,42.83,11.87,9.25,431.07,0.16,414.56,10.6,17,2.61,3070.37
Aluminum,8.31,301.19,18.04,67.69,17.74,39.51,63.91,0.09,892.5,11.86,76,18.94,7059.46
Brass,24.63,152.13,5.71,51.96,3.46,32.32,474.24,0.23,396.27,2.91,114,10.83,6004.48
Plastic,11.41,153.46,11.51,27.09,12.16,18.66,217.45,0.21,742.08,3.93,4,2.41,3155.89
Brass,22.56,372.88,26.2,73.16,13.46,25.25,14.56,0.11,486.42,7.69,19,16.51,12117.44
Copper,7.29,28.83,30.58,60.08,8.68,36.9,226.77,0.19,140.13,4.96,65,17.5,3698.85
Steel,6.9,451.93,12.64,42.28,14.17,24.39,32.57,0.29,929.38,12.91,74,13.15,6312.84
Brass,2.72,426.87,3.36,92.02,8.51,11.11,276.5,0.23,465.01,7.11,61,9.5,2755.48
Brass,16.99,335.56,19.86,11.88,10.34,18.25,175.89,0.08,739.8,11.99,93,13.58,8826.19
Steel,10.48,298.64,12.09,38.42,0.64,34.51,241.98,0.21,379.83,8.71,95,14.43,5690.43
Copper,21.88,446.69,11.37,15.12,13.99,27.55,310.45,0.26,38.5,11.6,31,17.97,12140.94
Aluminum,12.88,96.74,48.01,78.99,13.4,27.78,435.71,0.29,118.52,4.99,57,19.16,6809.74
Brass,24.27,44.09,31.01,73.19,1.25,35.34,334.33,0.24,506.3,12.47,49,10.77,4631.57
Steel,6.27,123.56,28.07,39.82,7.68,36.29,222.68,0.1,696.17,4.12,37,16.17,3519.82
Plastic,21.98,398.32,21.08,70.81,19.59,37.19,411.52,0.26,348.04,8.19,54,19.33,13192.2
Steel,19.86,22.16,21.73,45.63,8.7,8.32,453.74,0.25,701.58,3.21,27,3.87,2437.65
Plastic,19.73,293.49,27.27,78.06,10.29,24.04,68.68,0.06,704.66,7.13,73,1.35,9386.82
Copper,21.43,497.74,34.97,50.88,18.24,30.92,270.65,0.17,709.86,4.77,85,17.51,15762.84
Aluminum,19.5,428.57,35.26,47.11,14.49,31.49,149.41,0.15,502.67,4,118,4.71,11889.65
Steel,16.4,263.12,9,94.13,11.85,26.24,33.06,0.25,916.59,14.5,80,1.81,7168.64
Titanium,5.02,36.5,25.26,32.58,16.06,10.84,337.59,0.11,499.41,2.4,21,4.04,1806.07
Brass,2.75,416.53,20.89,20.84,17.36,32.91,432.76,0.23,461.26,11.81,42,8.3,3196.8
Copper,23.18,301.49,43.59,62.61,9.41,30.2,89.82,0.32,215.39,14.76,82,5.17,11701.47
Steel,16.18,61.89,31.76,97.24,9.76,8.01,408.08,0.29,321.5,0.3,80,6.8,5154.75
Brass,20.32,51.46,26.86,44.01,8.03,21.23,428.16,0.33,61.49,10.49,87,19.53,4409.84
Steel,13.08,455.27,6.21,15.58,19.35,11.09,458.03,0.34,640.86,3.79,35,14.38,7791.86
Plastic,4.7,336.25,30.48,40.54,14.09,16.81,139.99,0.05,263.57,0.61,95,14.53,4713.45
Steel,4.88,415.5,6.3,55.53,2.12,5.63,452.94,0.24,318.07,6.04,119,2.8,3271.86
Titanium,17.77,440.09,17.19,24.57,17.33,19.01,167.12,0.17,775.4,14.03,109,14.91,12098.4
Steel,11.9,288.03,7.57,69.23,9.87,24.25,280.65,0.31,340.68,0.18,51,15.05,5392.38
Steel,6.61,261.14,34.76,99.8,1.84,26.69,34.75,0.13,257.35,8.82,35,13.54,6132.31
Titanium,13.31,218.06,10.71,50.66,11.22,28.22,31.5,0.34,185.68,7.52,27,5.34,4320.4
Copper,3.48,161.89,19.9,41.93,8.63,34.27,362.98,0.23,779.36,13.1,77,9.04,3326.26
Steel,15.39,220.13,44.84,46.06,17.62,12.54,227.8,0.29,147.11,1.26,57,17.08,6903.5
Titanium,8.19,388.07,10.61,20.36,4.48,9.22,135.58,0.08,464.68,10.22,35,13.73,4716.52
Brass,20.34,302.95,25.64,89.49,16.62,34.8,103.3,0.11,516.79,10.2,69,14.92,11221.06
Plastic,9.14,446.8,21.25,47.33,11.37,10.48,338.28,0.28,693.64,10.04,8,12.16,6504.32
Plastic,12.47,224.47,1.4,44.85,1.56,39.12,10.2,0.06,640.62,14.14,20,9.54,4150.79
Steel,2.27,305.51,39.74,69.37,19.45,34.49,404.89,0.3,814.51,12.35,63,15.42,6114.19
Copper,3.67,317.5,3.92,49.78,10.5,22.53,48.83,0.05,63.86,0.63,75,2.29,1842.32
Copper,11.03,297.89,23.98,68.34,6.17,39.35,103.83,0.25,310.51,7.07,60,13.79,6563.48
Brass,13.04,352.8,28.25,15.53,9.65,8.41,199.26,0.16,294.53,5.97,93,19.95,7576.8
Steel,15.8,122.53,31.61,83.24,17.23,15.61,247.58,0.23,163.1,4.65,94,15.82,6633.3
Plastic,8.71,258.62,34.59,94.65,6.45,27.34,183.95,0.26,303.39,6.77,39,6.52,6460.86
Copper,17.98,56.59,13.04,68.39,4.26,17.25,167.15,0.15,323.57,5.76,55,6.28,2735.43
Steel,21.78,195.33,0.99,95.91,3.02,37.49,482.32,0.08,531.45,6.49,3,13.68,5349.64
Copper,19.94,246.4,36.31,23.63,6.31,7.3,324.37,0.07,670.43,14.69,30,18.02,7772.77
Titanium,2.91,327.85,27.02,52.97,15.71,24.23,21.48,0.23,393.48,1.33,26,11.98,3488.54
Copper,13.05,475.51,41.89,64.16,9.7,25.68,220.79,0.21,725.08,13.83,57,11.02,11399.96
Plastic,4.41,302.32,41.16,62.36,4.94,27.85,438.75,0.27,349.44,7.2,24,4.05,4698.64
Aluminum,7.57,373.08,42.24,46.13,3.74,13.95,157.71,0.2,304.48,9.36,68,14.59,6417.41
Brass,24.69,255.6,24.51,40.43,6.99,17.76,56.33,0.18,550.36,12.45,69,14.34,9761.5
Brass,5.28,318.88,17.01,21.41,18.83,34.53,381.61,0.17,43.24,5.41,4,19.37,2974.75
Plastic,13.47,40.11,39.68,45.26,7.19,11.82,306.95,0.06,98.19,6.46,114,6.7,3336.49
Copper,16.22,130.92,22.84,24.64,19.77,33.94,289.45,0.15,429.61,6.14,90,15.37,5344.01
Steel,18.16,184.12,9.58,76.09,9.96,24.69,36.25,0.34,944.05,5.62,7,9.25,5527.51
Copper,14.87,238.88,42.82,28.79,3.99,31.68,78.84,0.31,727.08,13.88,8,11.61,6248.77
Plastic,2.22,27.6,44.19,15.27,17.88,29.98,315.05,0.15,106.36,12.43,14,16.51,1664.47
Brass,9.51,74.31,23.58,59.71,9.48,12.26,111.83,0.23,849.39,1.63,99,5.22,3634.28
Copper,13.91,142.02,4.25,63.57,14.34,24.91,256.99,0.3,737.65,1.62,104,7.51,4230.67
Brass,4.02,485.91,19.7,88.47,19.68,35.37,276.99,0.18,618.73,6.42,6,15.69,5280.43
Steel,10.06,169.02,40.28,61.93,1.48,20.12,148.92,0.06,823.89,1.48,95,11.84,6207.45
Brass,2.76,243.61,45.14,41.09,2.39,38.83,474.73,0.07,416.03,9.29,71,2.76,3327.65
Brass,3.81,102.07,10.57,82.27,14.55,20.83,422.81,0.2,237.07,2.16,110,9.17,2900.29
Aluminum,11.13,307.34,3.82,58.63,6,10,363.96,0.34,521.78,7.84,114,12.15,6003.47
Aluminum,5.05,143.94,43.93,17.14,4.09,18.63,48.22,0.26,557.86,0.11,14,18.28,2383.17
Titanium,15.05,107.46,19.78,60.93,1.27,38.31,62,0.07,547.56,4.75,36,4.58,3664.72
Aluminum,17.86,260.7,27.32,91.72,0.93,16.19,251.46,0.11,573.77,10.16,82,16.31,9588.86
Brass,20.41,7.73,48.42,45.67,15.6,35.38,88.75,0.28,949.73,7.26,38,3.48,4039.31
Plastic,6.6,8.79,3.79,36.67,3.12,35.84,489.35,0.3,904.2,14.67,5,5.6,1396.33
Brass,5.85,113.44,32.59,22.91,9.62,17.26,87.67,0.24,878.2,13.11,82,5.62,3023.38
Plastic,4.41,23.18,4.17,23.63,12.31,7.91,248.86,0.24,805.39,5.39,56,17.67,2158.28
Plastic,16.64,58.47,19.09,48.95,8.85,30.36,188.42,0.06,944.56,0.68,91,4.78,3573.54
Aluminum,18.25,172.74,40.29,63.61,1.03,15.9,323.3,0.3,116.52,12.68,80,15.95,7620.98
Copper,2.73,402.28,21.96,17.26,15.78,32.4,73.23,0.29,279.82,13.67,105,9.77,3465.56
Steel,23.53,288.16,49.86,94.56,0.71,20.49,220.86,0.13,505.15,12.31,18,19.98,13237.88
Aluminum,3.2,258.77,28.17,77.96,15.36,21.98,144.61,0.26,849.6,1.92,62,16.94,5315.19
Aluminum,14.45,150.28,16.4,62.8,17.92,32.23,445,0.11,515.06,14.97,30,15.05,5119.62
Copper,18.31,466.22,11.4,84.56,8.94,18.38,29.89,0.06,753.07,3.88,74,17.54,12048.83
Steel,22.03,201.52,17.85,17.22,10.94,20.51,457.73,0.11,156.18,10.86,78,13.05,6677.8
Brass,18.42,48.11,18.94,52.92,9.8,18.17,418.17,0.1,267.37,13.62,9,17.03,2649.71
Titanium,20.44,310.45,3.9,66.71,8.09,17.86,155.81,0.15,737.14,3.54,106,5.96,8367.16
Titanium,9.81,61.35,18.79,84.58,17.8,23.41,396.75,0.18,181.44,13.62,86,2.86,3188.59
Brass,20.74,175.89,23.48,80.51,17.93,33.31,25.29,0.2,364.33,4.64,66,12.7,7512.43
Aluminum,3.84,256.17,36.28,34.94,7.05,17.66,483.76,0.19,279.57,14.65,61,9.26,3456.27
Steel,22.58,437.74,33.01,94.68,12.49,23.35,268.03,0.13,362.86,4.22,2,9.1,14134.21
Aluminum,14.59,249.31,35.58,21.19,18.57,28.48,158.61,0.06,714.16,14.3,17,11.01,6351.25
Plastic,20.8,352.62,0.91,88.76,19.26,14.43,187.67,0.23,380.49,0.8,24,7.87,8364.4
Aluminum,12.4,496.44,11.27,97.38,10.42,14.71,42.54,0.17,564.16,10.64,106,12.9,10000.38
Aluminum,16.8,70.09,33.25,25.94,9.33,37.67,494.78,0.14,117.93,7.98,19,1.58,2702.66
Brass,14.11,140.99,24.46,74.99,5.93,30.32,29.25,0.31,808.92,7.17,57,19.43,6071.56
Brass,18.83,200.32,0.76,13.63,19.2,25.2,330.9,0.27,382.49,3.35,92,18.57,6572.86
Brass,3.88,213.8,40.32,46.49,3.28,27.67,226.94,0.31,655.56,10.58,85,18.77,5203.91
Titanium,3.39,208.46,38.75,56.47,11.81,6.03,474.97,0.2,730.88,2.86,49,7.94,4201.25
Plastic,7.68,454.27,27.65,62.26,6.01,26.63,130.54,0.09,225.47,8.29,78,11.11,6763.35
Brass,5.67,358.45,3.79,94.23,5.94,22.83,270.72,0.26,886.98,3.8,102,19.13,5511.01
Steel,22.05,305.91,38.44,70.5,8.4,24.1,246.35,0.11,623.9,14.33,9,18.14,11438.64
Titanium,7.04,158.14,29.39,53.32,19.98,17.58,354.4,0.18,440.15,0.43,20,16.01,3860.56
Copper,24.44,412.78,39.21,82.87,1.57,7.85,43.33,0.07,198.69,3,118,8.74,14885.69
Steel,9.75,477.75,37.71,95.55,11.78,11.77,104.96,0.3,943.45,3.63,115,11.72,10891.73
Steel,6.19,411.49,40.25,11.99,2.11,38.28,115.14,0.09,759.97,6.21,28,16.07,4488.96
Brass,20.16,5.77,26.14,98.43,3.51,19.3,371.69,0.32,223.86,3.49,95,6.19,3691.94
Copper,17.15,320.02,7.45,17.75,9.07,21.33,102.68,0.31,350.96,7.37,9,12.9,6717.43
Copper,13.46,30.31,33.72,83.29,10.45,6.84,291.01,0.19,813.48,13.09,12,16.73,4410.92
Titanium,14.77,132.52,31.21,35.23,5.55,6.31,115.47,0.27,701.76,10.68,46,14.44,4698.09
Copper,18.54,34.46,37.24,21.9,6.67,30.1,432.2,0.24,770.47,8.7,22,10.11,2807.41
Plastic,7.25,303.88,8.91,49.59,2.2,23.83,471.67,0.29,452.38,1.34,49,12.11,3909.48
Brass,24.92,344.86,10.15,67.96,6.41,22.8,264.06,0.18,722.15,10.41,86,19.78,12795.24
Copper,24.42,61.67,44.58,44.29,19.35,13.51,182.63,0.29,398.76,2.5,94,12.44,5400.58
Titanium,16.96,195,37.62,14.91,18.92,31.07,124.69,0.19,227.04,11.8,3,15.93,5144.73
Plastic,6.59,230.84,45.46,63.95,7.03,10.89,34.39,0.33,640.02,3.75,115,14.81,6916.52
Aluminum,17.65,187.68,38.06,91.22,11.63,11.65,141.57,0.2,976.49,6.26,112,14.33,9737
Aluminum,3.66,64.91,30.06,44.49,18.24,21.12,330.58,0.19,324.39,5.26,66,14.61,3324.13
Plastic,2.71,212.38,32.88,29.47,0.62,15.02,271.47,0.29,471.75,12.88,84,9.63,2987.36
Titanium,7.93,376.83,44.51,49.83,16.31,13.66,472.58,0.3,680.52,1.9,52,10.01,6828.58
Plastic,12.64,40.15,29.15,14.35,18.99,27.58,204.18,0.22,550.68,8.48,1,9.89,2098.07
Brass,21.97,44.69,31.8,83.84,2.28,27.78,349.99,0.1,846.56,2.13,67,1.63,4722.97
Brass,18.72,180.61,8.25,84.37,3.65,33.86,249.77,0.19,766.51,10.57,64,5.58,5729.12
Aluminum,19.08,471.15,23.96,62.92,19.23,19.62,261.16,0.34,77.13,13.58,78,3.94,12568.42
Copper,11.79,335.94,35.96,41.78,10.98,7.56,141.21,0.28,998.45,6.52,56,17.84,7841.42
Titanium,9.96,340.94,13.91,81.98,0.78,14.58,232.93,0.29,757.35,7.32,96,6.22,6218.07
Aluminum,10.53,184.15,10.51,59.92,5.52,39.3,240.68,0.06,866.63,13.91,69,3.63,4187.06
Copper,24.72,298.86,16.03,84.33,9.27,25.87,356.25,0.19,658.17,7.81,6,3.28,10301.97
Copper,2.92,10.01,12.45,66.83,14.01,29.84,470.91,0.24,859.16,7.31,18,14.3,2511.04
Brass,21.94,319.87,11.14,80.6,14.8,5.26,171.37,0.3,130.14,8.67,43,1.12,8831.85
Steel,15.31,457.08,21.53,63.87,19.91,23.14,30.68,0.06,360.78,10.34,62,9.95,10536.84
Steel,12.09,308.22,45.44,47.27,6.11,6.31,253.18,0.31,878.89,1.6,64,3.26,7138.52
Plastic,18.68,437.48,25.6,96.22,11,24.92,276.79,0.21,217.62,12.32,38,17.14,12843.35
Brass,13.19,363.37,9.8,58.7,10.9,37.23,92.54,0.11,96.68,6.53,82,19.21,7768.97
Copper,22.09,64.68,4.31,64.46,8.41,38.89,382.63,0.15,792.36,1.09,108,19.22,4974.76
Titanium,22.72,451.71,34.96,29.84,3.8,23.92,492.62,0.13,838.78,11.79,25,9.4,13744.76
Steel,11.7,37.89,19.45,66.31,19.56,21.04,473.43,0.21,179.4,5.65,43,13.25,3018.2
Copper,8.37,269.31,41.18,61.44,17.14,38.08,106.58,0.07,857.26,1.51,11,12.39,6471.96
Steel,15.62,75.36,33.15,26.64,10.22,28.58,438.93,0.1,693.03,9.51,21,7.65,3361.84
Steel,22.98,10.79,39.91,15.36,12.26,7.27,355.2,0.29,529.68,13.2,76,9.44,2332.96
Steel,6.85,213.91,13.96,64.39,4.93,21.3,232.38,0.09,833.65,13.32,91,2.22,3720.94
Titanium,16.33,151.05,34.77,78.73,11.1,13.41,274.9,0.12,430.86,14.36,13,16.12,6380.56
Brass,16.53,245.57,13.57,57.11,14.05,21.44,426.3,0.19,210.11,13.02,85,5.58,6429.41
Titanium,18.86,290.71,46.98,30.41,10.55,20.94,245.27,0.21,299.16,0.03,29,9.75,7767.43
Aluminum,5.03,26.65,32,69.99,19.81,25.38,192.87,0.28,515.06,5.7,43,10.13,3888.8
Copper,18.46,65.89,16.56,17.21,12.42,17.49,251.69,0.18,540.7,12.28,83,11.65,3420.87
Brass,22.91,281.53,13.84,49.77,7.73,10.75,293.77,0.29,809.47,5.49,107,16.54,10240.31
Brass,6.13,174.87,9.95,24.7,15.56,22.63,102.65,0.24,795.53,9.02,90,14.15,3860.2
Brass,7.46,365.94,34.88,26.6,3.82,34.06,451.44,0.08,589.74,9.09,37,13.6,5165.03
Brass,24.34,327.88,11.33,28.21,8,28.24,340.35,0.1,785.17,5.48,58,11.01,10421.26
Titanium,6.16,423.57,29.97,44.8,7.27,16.84,320.3,0.18,207.94,13.57,41,2.82,4809.56
Brass,21.65,347.78,13.6,14.6,8.92,37.74,58.75,0.17,69.06,7.55,51,8.64,9152.8
Plastic,13.32,217.82,33.27,45.8,15.74,36.93,306.05,0.27,876.16,6.97,62,19.19,7357.21
Copper,7.69,338.12,40.84,56.05,9.94,12.33,69.27,0.22,94.04,14.96,60,19.92,6705.25
Brass,22.03,141.31,39.01,53.5,15.98,6.38,48.56,0.17,261.75,7.4,119,14.88,7573.14
Copper,12.24,156.63,38.16,44.45,11.74,30.95,268.38,0.1,701.41,2.68,104,5.32,5309.62
Plastic,13.84,395.55,9.79,85.52,7.17,33.97,207.36,0.12,421.26,7.7,33,2.94,7519.91
Plastic,10.26,225.98,4.88,23.08,16.29,38.88,298.52,0.22,878.79,12.21,38,8.88,4629.54
Copper,15.64,400.2,35.1,55.51,5.15,36.14,53.72,0.18,312.02,11.65,40,17.27,10135.33
Steel,5.76,412.1,18.73,15.58,4.88,26.02,221.18,0.2,31.63,11.83,107,14.72,4724.2
Aluminum,10.99,429.49,21.9,16.4,10.34,23.55,95.65,0.1,314.64,10.62,36,17.79,6788.68
Steel,24.3,458.73,2.04,61.65,5.59,5.97,493.68,0.25,586.51,3.81,64,12.7,13253.71
Steel,7.94,218.34,13.35,60.94,0.68,13.63,284.96,0.31,388.42,12.93,117,3.48,3664.51
Titanium,17.1,162.84,2.17,89.02,13.14,21.09,346.84,0.13,544.18,13.4,78,3.18,4465.3
Steel,9.48,293.19,44.02,60.21,10.47,27,169.45,0.2,879.07,2.91,31,1.91,6765.63
Brass,19.79,188.73,12.55,96.38,9.19,24.5,56.42,0.34,914.24,1.96,7,11.77,6258.71
Titanium,5.01,302.53,28.09,14.38,19.36,30.99,488.18,0.15,280.65,14.63,96,5.61,3633.76
Titanium,24.31,354.27,2.43,18.82,11.64,14.79,150.27,0.23,472.9,13.02,17,14.95,10713.13
Plastic,12.44,345.76,33.51,13.97,17.34,24.77,217.67,0.08,558.16,13.4,44,14.04,6968.6
Steel,7.43,190.4,16.49,26.67,3.22,8.08,328.43,0.23,950.13,13.3,92,7.04,3741.98
Plastic,3.69,87.6,44.95,58.71,11.6,19.48,22.1,0.08,998.64,8.13,95,4.36,4629.11
Copper,5.9,218.11,44.46,68.1,17.43,31.26,407.03,0.34,250.7,9.7,32,2.95,5467.75
Aluminum,13.95,75.58,16.6,14.1,11.87,29.27,272.92,0.26,732.44,8.18,4,15.01,2585.52
Titanium,9.75,445.6,45.1,95.14,14.5,39.67,146.33,0.29,390.47,0.77,81,9.56,10451.35
Copper,21.06,176.21,49.81,85.79,7.75,14.73,40.19,0.26,27.95,11.18,111,7.15,9345.28
Copper,11.91,81.46,41.36,36.7,2.3,22.44,89.62,0.23,29.07,7.58,73,17.28,3924.38
Brass,7.72,17.6,42.32,16.95,9.43,16.53,448.57,0.18,471.35,9.72,35,12.28,2004.17
Aluminum,16.19,324.68,12.83,25.29,8.19,20.42,346.15,0.31,498.57,7.54,96,10.84,7791.14
Copper,18.26,320.27,29.05,21.42,17.41,34.99,132.45,0.34,42.12,7.38,22,15.12,7930.94
Copper,5.84,173.6,3.83,21.1,5.26,28.95,42.14,0.2,693.19,2.58,39,16.5,2618.19
Aluminum,5.86,40.5,5.2,56.67,19.35,35.89,348.4,0.33,308.12,4.18,4,14.04,1715.66
Aluminum,2.84,207.77,49.95,32.13,19.18,12.12,290.48,0.22,568.7,2.38,33,9.36,3382.95
Copper,18.94,159.05,16.67,42.23,5.33,35.57,208.21,0.21,314.9,2.93,23,8.21,4541.69
Aluminum,17.27,340.17,37.54,99.06,7.29,7.09,188.17,0.19,183.79,14.59,16,15.66,10972.36
Copper,12.92,304.86,40.43,71.59,17.96,36.1,116.24,0.11,419.03,2.3,94,10.84,9022.9
Copper,21.42,185.47,42.97,95.41,19.35,16.52,338.11,0.05,247.63,4.04,70,14.38,9823.83
Brass,20.53,112.86,49.88,22.83,9.15,16.01,485.63,0.12,544.1,8.86,80,17.92,5843.53
Steel,15.46,494.08,12.45,44.39,6.76,22.92,96.1,0.2,214.85,9.15,91,18.4,10953.46
Copper,21.97,229.73,2.5,59.93,10.76,37.92,302.59,0.16,518.24,2.31,101,6.28,6922.54
Plastic,6.73,345.7,20.85,16.91,13.91,6.67,217.85,0.18,174.23,11.91,21,4.57,3358.42
Titanium,4.57,74.57,6.94,10.38,5.83,17.33,228.88,0.34,677.56,11.78,14,5.96,1392.82
